# y  z  Ux  Uy  Uz

0.000000e+00 0.000000e+00 2.234434e-11 5.788361e-08 1.356342e-07
7.812500e-03 0.000000e+00 -1.170357e-08 5.288432e-08 7.558515e-02
1.562500e-02 0.000000e+00 -2.401214e-08 5.002497e-08 1.513383e-01
2.343750e-02 0.000000e+00 -3.721619e-08 5.017189e-08 2.281878e-01
3.125000e-02 0.000000e+00 -5.078054e-08 5.284496e-08 3.067388e-01
3.906250e-02 0.000000e+00 -6.481746e-08 5.717478e-08 3.873081e-01
4.687500e-02 0.000000e+00 -7.928885e-08 6.378308e-08 4.701596e-01
5.468750e-02 0.000000e+00 -9.441155e-08 7.117522e-08 5.554831e-01
6.250000e-02 0.000000e+00 -1.100990e-07 7.966509e-08 6.433991e-01
7.031250e-02 0.000000e+00 -1.268999e-07 8.937464e-08 7.339704e-01
7.812500e-02 0.000000e+00 -1.443906e-07 1.015590e-07 8.272159e-01
8.593750e-02 0.000000e+00 -1.625175e-07 1.138429e-07 9.231255e-01
9.375000e-02 0.000000e+00 -1.812393e-07 1.283059e-07 1.021671e+00
1.015625e-01 0.000000e+00 -2.016757e-07 1.430551e-07 1.122815e+00
1.093750e-01 0.000000e+00 -2.238836e-07 1.586753e-07 1.226519e+00
1.171875e-01 0.000000e+00 -2.479946e-07 1.762696e-07 1.332743e+00
1.250000e-01 0.000000e+00 -2.742725e-07 1.940914e-07 1.441454e+00
1.328125e-01 0.000000e+00 -3.029383e-07 2.131074e-07 1.552624e+00
1.406250e-01 0.000000e+00 -3.347113e-07 2.341369e-07 1.666234e+00
1.484375e-01 0.000000e+00 -3.674439e-07 2.550122e-07 1.782271e+00
1.562500e-01 0.000000e+00 -4.014446e-07 2.718033e-07 1.900730e+00
1.640625e-01 0.000000e+00 -4.391358e-07 2.944511e-07 2.021614e+00
1.718750e-01 0.000000e+00 -4.782166e-07 3.200896e-07 2.144933e+00
1.796875e-01 0.000000e+00 -5.183980e-07 3.376473e-07 2.270705e+00
1.875000e-01 0.000000e+00 -5.587171e-07 3.658498e-07 2.398952e+00
1.953125e-01 0.000000e+00 -5.997609e-07 3.864779e-07 2.529705e+00
2.031250e-01 0.000000e+00 -6.392855e-07 4.085428e-07 2.662996e+00
2.109375e-01 0.000000e+00 -6.768382e-07 4.307807e-07 2.798866e+00
2.187500e-01 0.000000e+00 -7.124427e-07 4.479256e-07 2.937358e+00
2.265625e-01 0.000000e+00 -7.438480e-07 4.656962e-07 3.078519e+00
2.343750e-01 0.000000e+00 -7.698788e-07 4.780551e-07 3.222400e+00
2.421875e-01 0.000000e+00 -7.895573e-07 4.892511e-07 3.369056e+00
2.500000e-01 0.000000e+00 -7.994297e-07 4.983933e-07 3.518542e+00
2.578125e-01 0.000000e+00 -8.005214e-07 4.981745e-07 3.670918e+00
2.656250e-01 0.000000e+00 -7.883297e-07 4.973622e-07 3.826243e+00
2.734375e-01 0.000000e+00 -7.621997e-07 4.909012e-07 3.984580e+00
2.812500e-01 0.000000e+00 -7.215760e-07 4.730974e-07 4.145991e+00
2.890625e-01 0.000000e+00 -6.641297e-07 4.514687e-07 4.310540e+00
2.968750e-01 0.000000e+00 -5.882977e-07 4.260609e-07 4.478292e+00
3.046875e-01 0.000000e+00 -4.945739e-07 3.946072e-07 4.649309e+00
3.125000e-01 0.000000e+00 -3.834661e-07 3.549185e-07 4.823655e+00
3.203125e-01 0.000000e+00 -2.554483e-07 3.060942e-07 5.001394e+00
3.281250e-01 0.000000e+00 -1.121066e-07 2.471880e-07 5.182588e+00
3.359375e-01 0.000000e+00 4.546126e-08 1.790740e-07 5.367297e+00
3.437500e-01 0.000000e+00 2.135500e-07 1.013582e-07 5.555581e+00
3.515625e-01 0.000000e+00 3.900077e-07 1.830739e-08 5.747498e+00
3.593750e-01 0.000000e+00 5.741591e-07 -6.720241e-08 5.943103e+00
3.671875e-01 0.000000e+00 7.658595e-07 -1.561647e-07 6.142449e+00
3.750000e-01 0.000000e+00 9.629751e-07 -2.518271e-07 6.345587e+00
3.828125e-01 0.000000e+00 1.155994e-06 -3.511535e-07 6.552566e+00
3.906250e-01 0.000000e+00 1.337281e-06 -4.441409e-07 6.763429e+00
3.984375e-01 0.000000e+00 1.503515e-06 -5.374866e-07 6.978219e+00
4.062500e-01 0.000000e+00 1.649189e-06 -6.279583e-07 7.196973e+00
4.140625e-01 0.000000e+00 1.768602e-06 -7.038056e-07 7.419727e+00
4.218750e-01 0.000000e+00 1.852791e-06 -7.736978e-07 7.646510e+00
4.296875e-01 0.000000e+00 1.894458e-06 -8.267691e-07 7.877349e+00
4.375000e-01 0.000000e+00 1.887218e-06 -8.755341e-07 8.112268e+00
4.453125e-01 0.000000e+00 1.827122e-06 -8.994267e-07 8.351286e+00
4.531250e-01 0.000000e+00 1.718372e-06 -9.199803e-07 8.594414e+00
4.609375e-01 0.000000e+00 1.566947e-06 -9.137883e-07 8.841664e+00
4.687500e-01 0.000000e+00 1.370693e-06 -9.166767e-07 9.093049e+00
4.765625e-01 0.000000e+00 1.123139e-06 -8.346520e-07 9.348560e+00
4.843750e-01 0.000000e+00 8.617955e-07 -7.713612e-07 9.608196e+00
4.921875e-01 0.000000e+00 6.291439e-07 -8.207278e-07 9.872575e+00
5.000000e-01 0.000000e+00 4.068776e-07 0.000000e+00 1.013828e+01
